index,pattern,meaning,#pos,#neg,score,coverage,precision,recall,F1
66,[['TEXT:da']],"The word ""da""",0,84,0.9183456473731564,0.023549201009251473,1.0,0.027281584930172135,0.053114132153019286
67,"[['SPACY:POS-PRON'], ['HYPERNYM3:match.v.01']]","A pronoun, closely followed by a type of match (v)",0,83,0.9174177899060063,0.023268853378188955,1.0,0.026956804157193894,0.05249841872232764
68,"[['TEXT:so'], ['SPACY:POS-PRON']]","The word ""so"", closely followed by a pronoun",3,114,0.9164979249784478,0.03280067283431455,0.9743589743589743,0.03702500811951932,0.07133917396745933
69,"[['TEXT:i'], ['TEXT:am']]","The word ""i"", closely followed by the word ""am""",1,92,0.915911517167755,0.02607232968881413,0.989247311827957,0.02987983111399805,0.058007566204287514
70,[['TEXT:do']],"The word ""do""",25,342,0.9150181146124539,0.10288758059994393,0.9318801089918256,0.11107502435855797,0.19849100406268136
71,"[['SPACY:POS-INTJ'], ['SPACY:POS-INTJ']]","An interjection (expresses an emotional reaction), closely followed by an interjection (expresses an emotional reaction)",3,111,0.9143778631442717,0.031959629941127,0.9736842105263158,0.03605066580058461,0.0695270905104917
72,"[['SPACY:POS-PRON'], ['TEXT:me']]","A pronoun, closely followed by the word ""me""",3,111,0.9143778631442717,0.031959629941127,0.9736842105263158,0.03605066580058461,0.0695270905104917
73,[['TEXT:rate']],"The word ""rate""",23,1,0.9142545598731165,0.00672834314550042,0.9583333333333334,0.0471311475409836,0.08984375
74,"[['SPACY:POS-PRON', 'TEXT:it'], ['SPACY:POS-PRON']]","The word ""it"" which is also a pronoun, closely followed by a pronoun",0,79,0.9134923152340032,0.022147462853938885,1.0,0.025657681065280935,0.050031665611146296
75,"[['SPACY:POS-PRON'], ['TEXT:do']]","A pronoun, closely followed by the word ""do""",6,139,0.9125722425056075,0.04065040650406504,0.9586206896551724,0.04514452744397532,0.08622828784119108
76,[['HYPERNYM3:mobile.n.03']],A type of mobile (n),22,1,0.9106110652353427,0.006447995514437903,0.9565217391304348,0.045081967213114756,0.08610567514677103
77,"[['SPACY:POS-PRON'], ['TEXT:at']]","A pronoun, closely followed by the word ""at""",1,86,0.9104253016183109,0.024390243902439025,0.9885057471264368,0.027931146476128613,0.05432722678458623
78,"[['HYPERNYM3:outgo.n.01'], ['TEXT:prize']]","A type of outgo (n), closely followed by the word ""prize""",12,0,0.9099848714069589,0.00336417157275021,1.0,0.02459016393442623,0.048
79,"[['TEXT:urgent'], ['TEXT:mobile']]","The word ""urgent"", closely followed by the word ""mobile""",12,0,0.9099848714069589,0.00336417157275021,1.0,0.02459016393442623,0.048
80,[['SPACY:POS-INTJ']],An interjection (expresses an emotional reaction),81,872,0.9099430361794425,0.2671712924025792,0.9150052465897167,0.283208834037025,0.43253968253968256
81,"[['TEXT:me'], ['SPACY:POS-PRON']]","The word ""me"", closely followed by a pronoun",3,105,0.9098079042330214,0.030277544154751892,0.9722222222222222,0.034101981162715164,0.06589268904926263
82,[['SPACY:POS-PRON']],A pronoun,225,2281,0.9096967713895565,0.7025511634426689,0.9102154828411811,0.7408249431633648,0.8168307967770815
83,"[['SPACY:POS-PRON'], ['HYPERNYM3:make.v.03']]","A pronoun, closely followed by a type of make (v)",4,114,0.9092066270212216,0.033081020465377066,0.9661016949152542,0.03702500811951932,0.0713168595558336
84,[['HYPERNYM3:search.v.04']],A type of search (v),0,75,0.9091870975543396,0.021026072329688814,1.0,0.024358557973367976,0.047558655675332906
85,[['TEXT:in']],"The word ""in""",41,473,0.9089223160931382,0.14409868236613402,0.9202334630350194,0.15362130561870738,0.2632897300306151
86,[['TEXT:at']],"The word ""at""",15,219,0.908356520030203,0.0656013456686291,0.9358974358974359,0.07112698928223449,0.13220645940235434
87,[['HYPERNYM3:mobile.n.02']],A type of mobile (n),31,2,0.9081677381648159,0.009251471825063078,0.9393939393939394,0.06352459016393443,0.11900191938579655
88,[['TEXT:good']],"The word ""good""",8,150,0.9075272710813379,0.04429492570787777,0.9493670886075949,0.04871711594673595,0.09267840593141798
89,"[['HYPERNYM3:match.v.01'], ['SPACY:POS-PRON']]","A type of match (v), closely followed by a pronoun",1,83,0.9074129610949043,0.023549201009251473,0.9880952380952381,0.026956804157193894,0.05248182105595953
90,[['TEXT:when']],"The word ""when""",10,168,0.9069588982081072,0.04990187832912812,0.9438202247191011,0.05456316986034427,0.10316241940435984
91,[['TEXT:she']],"The word ""she""",0,73,0.9068744384894203,0.020465377067563777,1.0,0.023708996427411498,0.04631979695431472
92,[['HYPERNYM3:travel.v.01']],A type of travel (v),5,120,0.9065732210478721,0.03504345388281469,0.96,0.03897369275738876,0.0749063670411985
93,[['TEXT:sorry']],"The word ""sorry""",3,100,0.9056211748232798,0.028875805999439303,0.970873786407767,0.03247807729782397,0.06285355122564425
94,[['TEXT:love']],"The word ""love""",3,98,0.9038386347432092,0.02831511073731427,0.9702970297029703,0.03182851575186749,0.061635220125786164
95,[['TEXT:like']],"The word ""like""",8,142,0.9027093010352097,0.04205214465937763,0.9466666666666667,0.046118869762910034,0.08795292660266336
96,[['TEXT:so']],"The word ""so""",21,259,0.9025017596607547,0.0784973366975049,0.925,0.08411822020136409,0.15421256326287586
97,[['TEXT:code']],"The word ""code""",20,1,0.9023402340234024,0.005887300252312868,0.9523809523809523,0.040983606557377046,0.07858546168958741
98,"[['SPACY:POS-PRON'], ['TEXT:that']]","A pronoun, closely followed by the word ""that""",2,87,0.901962305126813,0.02495093916456406,0.9775280898876404,0.028255927249106853,0.05492424242424243
99,[['TEXT:think']],"The word ""think""",1,78,0.9019291213702817,0.022147462853938885,0.9873417721518988,0.025332900292302694,0.04939835338822039
